Phi[deg],Theta[deg],Gain[dB]
5,76,-1.1973e+00
5,77,-1.3148e+00
5,78,-1.4312e+00
5,79,-1.5466e+00
5,80,-1.6610e+00
5,81,-1.7742e+00
5,82,-1.8863e+00
5,83,-1.9973e+00
5,84,-2.1071e+00
5,85,-2.7221e+00
5,86,-2.6184e+00
5,87,-2.5134e+00
5,88,-2.4071e+00
5,89,-2.2996e+00
5,90,-2.1908e+00
5,91,-2.0808e+00
5,92,-1.9697e+00
5,93,-1.8575e+00
5,94,-1.7442e+00
5,95,-1.6300e+00
5,96,-1.5149e+00
5,97,-1.3990e+00
5,98,-1.2822e+00
5,99,-1.1648e+00
5,100,-1.0467e+00
5,101,-9.2816e-01
5,102,-8.0910e-01
5,103,-6.8964e-01
5,104,-5.6988e-01
5,105,-4.4989e-01
5,106,-3.2976e-01
5,107,-2.0955e-01
5,108,-8.9350e-02
5,109,3.0760e-02
5,110,1.5070e-01
5,111,2.7041e-01
5,112,3.8980e-01
5,113,5.0880e-01
5,114,6.2734e-01
5,115,7.4536e-01
5,116,8.6278e-01
5,117,9.7956e-01
5,118,1.0956e+00
5,119,1.2109e+00
5,120,1.3254e+00
5,121,1.4389e+00
5,122,1.5516e+00
5,123,1.6633e+00
5,124,1.7739e+00
5,125,1.8835e+00
5,126,1.9920e+00
5,127,2.0994e+00
5,128,2.2056e+00
5,129,2.3107e+00
5,130,2.4145e+00
5,131,2.5170e+00
5,132,2.6183e+00
5,133,2.7184e+00
5,134,2.8170e+00
5,135,2.9144e+00
5,136,3.0104e+00
5,137,3.1051e+00
5,138,3.1983e+00
5,139,3.2902e+00
5,140,3.3806e+00
5,141,3.4696e+00
5,142,3.5571e+00
5,143,3.6432e+00
5,144,3.7277e+00
5,145,3.8107e+00
5,146,3.8921e+00
5,147,3.9719e+00
5,148,4.0501e+00
5,149,4.1267e+00
5,150,4.2016e+00
5,151,4.2747e+00
5,152,4.3460e+00
5,153,4.4156e+00
5,154,4.4833e+00
5,155,4.5490e+00
5,156,4.6129e+00
5,157,4.6747e+00
5,158,4.7344e+00
5,159,4.7920e+00
5,160,4.8475e+00
5,161,4.9008e+00
5,162,4.9517e+00
5,163,5.0003e+00
5,164,5.0465e+00
5,165,5.0903e+00
5,166,5.1315e+00
5,167,5.1702e+00
5,168,5.2062e+00
5,169,5.2396e+00
5,170,5.2702e+00
5,171,5.2980e+00
5,172,5.3230e+00
5,173,5.3452e+00
5,174,5.3644e+00
5,175,5.3807e+00
5,176,5.3939e+00
5,177,5.4042e+00
5,178,5.4114e+00
5,179,5.4155e+00
6,0,5.3926e+00
6,1,5.3906e+00
6,2,5.3853e+00
6,3,5.3770e+00
6,4,5.3654e+00
6,5,5.3508e+00
6,6,5.3330e+00
6,7,5.3120e+00
6,8,5.2879e+00
6,9,5.2607e+00
6,10,5.2303e+00
6,11,5.1969e+00
6,12,5.1604e+00
6,13,5.1209e+00
6,14,5.0783e+00
6,15,5.0328e+00
6,16,4.9844e+00
6,17,4.9330e+00
6,18,4.8788e+00
6,19,4.8218e+00
6,20,4.7620e+00
